time,x1,y1,x2,y2
0,1,0,0,1
0.01,0.999970629,0.004029135,0.000146857,0.979854325
0.02,0.999881051,0.008117022,0.000594747,0.959414889
0.03,0.999728957,0.012264413,0.001355216,0.938677934
0.04,0.999511902,0.016472072,0.002440488,0.917639639
0.05,0.999227292,0.020740778,0.003863541,0.89629611
0.06,0.998872368,0.025071323,0.00563816,0.874643387
0.07,0.998444194,0.029464509,0.00777903,0.852677454
0.08,0.99793964,0.033921151,0.010301801,0.830394247
0.09,0.997355366,0.038442066,0.013223169,0.807789671
0.1,0.996687804,0.043028076,0.016560981,0.784859618
0.11,0.995933129,0.047680003,0.020334357,0.761599986
0.12,0.995087238,0.052398658,0.024563811,0.73800671
0.13,0.994145726,0.05718484,0.029271371,0.714075798
0.14,0.993103852,0.062039326,0.03448074,0.689803368
0.15,0.991956505,0.066962859,0.040217473,0.665185704
0.16,0.990698152,0.071956134,0.046509242,0.64021933
0.17,0.98932281,0.077019784,0.053385949,0.614901082
0.18,0.987824,0.08215436,0.060879999,0.589228198
0.19,0.986194653,0.087360304,0.069026734,0.56319848
0.2,0.984427071,0.092637914,0.077864647,0.536810429
0.21,0.982512863,0.097987317,0.087435686,0.510063413
0.22,0.980442824,0.103408409,0.097785882,0.482957957
0.23,0.97820683,0.108900786,0.108965849,0.45549607
0.24,0.975793765,0.114463688,0.121031174,0.42768156
0.25,0.973191359,0.12009589,0.134043205,0.399520548
0.26,0.970386011,0.125795567,0.148069947,0.371022164
0.27,0.967362632,0.131560142,0.163186841,0.342199292
0.28,0.964104432,0.137386077,0.179477842,0.313069615
0.29,0.960592675,0.143268608,0.197036624,0.283656959
0.3,0.956806425,0.149201409,0.215967874,0.253992955
0.31,0.952722194,0.155176109,0.236389029,0.224119455
0.32,0.948313628,0.161181717,0.258431859,0.194091416
0.33,0.943551122,0.167203819,0.282244392,0.163980904
0.34,0.938401459,0.173223554,0.307992705,0.133882232
0.35,0.932827457,0.1792162,0.335862716,0.103918999
0.36,0.926787731,0.185149304,0.366061346,0.074253482
0.37,0.92023675,0.190980251,0.398816248,0.045098743
0.38,0.913125382,0.196653015,0.43437309,0.016734926
0.39,0.905402401,0.202094035,0.472987993,-0.010470177
0.4,0.897017683,0.207207139,0.514911584,-0.036035696
0.41,0.887928155,0.211867877,0.560359227,-0.059339387
0.42,0.878107946,0.215918415,0.609460271,-0.079592077
0.43,0.867564226,0.219165513,0.662178871,-0.095827563
0.44,0.856358709,0.22138658,0.718206456,-0.106932898
0.45,0.84463109,0.222350264,0.776844548,-0.111751319
0.46,0.832613503,0.221856089,0.836932485,-0.109280443
0.47,0.820619924,0.219787286,0.896900382,-0.09893643
0.48,0.809000655,0.216154834,0.954996726,-0.08077417
0.49,0.798074439,0.211105272,1.009627804,-0.055526362
0.5,0.788070637,0.204884069,1.059646814,-0.024420345
0.51,0.779107434,0.197775819,1.104462828,0.011120905
0.52,0.771205605,0.190051663,1.143971977,0.049741687
0.53,0.764319366,0.181939743,1.178403169,0.090301283
0.54,0.758366911,0.173616985,1.208165445,0.131915074
0.55,0.753252704,0.165213351,1.233736482,0.173933246
0.56,0.748880931,0.156820805,1.255595343,0.215895974
0.57,0.745162382,0.148502602,1.274188089,0.257486988
0.58,0.742017235,0.140301137,1.289913823,0.298494313
0.59,0.739375627,0.132243978,1.303121867,0.338780111
0.6,0.737177108,0.1243483,1.314114462,0.378258499
0.61,0.735369657,0.116624056,1.323151716,0.416879718
0.62,0.733908586,0.109076202,1.330457071,0.454618988
0.63,0.732755455,0.101706277,1.336222723,0.491468614
0.64,0.731877153,0.094513485,1.340614237,0.527432577
0.65,0.731245044,0.087495473,1.343774782,0.562522635
0.66,0.730834286,0.080648866,1.345828572,0.596755672
0.67,0.730623243,0.073969639,1.346883785,0.630151803
0.68,0.730592991,0.067453389,1.347035043,0.662733054
0.69,0.730726912,0.061095511,1.346365441,0.694522444
0.7,0.731010352,0.054891331,1.344948241,0.725543344
