t,x,y
0,1,1
0.01,0.989800316,1.009799649
0.02,0.979202853,1.019197514
0.03,0.968210066,1.028192031
0.04,0.956824787,1.036781976
0.05,0.945050172,1.044966414
0.06,0.932889762,1.052744717
0.07,0.920347406,1.060116497
0.08,0.907427362,1.06708168
0.09,0.894134231,1.073640424
0.1,0.880472963,1.079793134
0.11,0.866448961,1.085540503
0.12,0.852068035,1.090883482
0.13,0.837336134,1.095823114
0.14,0.822259927,1.100360842
0.15,0.80684633,1.104498232
0.16,0.791102499,1.108237
0.17,0.775036305,1.111579232
0.18,0.758655755,1.114527071
0.19,0.741969249,1.117082863
0.2,0.72498581,1.119249241
0.21,0.707714543,1.121028878
0.22,0.690165076,1.12242469
0.23,0.67234751,1.123439799
0.24,0.654272032,1.124077366
0.25,0.63594943,1.12434082
0.26,0.617390795,1.124233718
0.27,0.598607332,1.123759666
0.28,0.579610881,1.122922556
0.29,0.560413496,1.121726367
0.3,0.541027285,1.120175102
0.31,0.52146488,1.118273006
0.32,0.501739208,1.116024471
0.33,0.481863211,1.113433895
0.34,0.461850139,1.110505823
0.35,0.441713594,1.107244997
0.36,0.421467194,1.103656177
0.37,0.401124682,1.099744188
0.38,0.380700095,1.095514069
0.39,0.360207501,1.090970894
0.4,0.339661003,1.086119764
0.41,0.319074849,1.08096595
0.42,0.298463303,1.0755148
0.43,0.277840634,1.069771669
0.44,0.257221119,1.063742018
0.45,0.236618955,1.057431418
0.46,0.216048329,1.050845443
0.47,0.195523381,1.04398972
0.48,0.175058007,1.036869984
0.49,0.154666046,1.029491987
0.5,0.134361297,1.021861495
0.51,0.114157183,1.013984361
0.52,0.094066938,1.005866459
0.53,0.07410378,0.997513668
0.54,0.054280529,0.988931913
0.55,0.034609594,0.980127142
0.56,0.015103366,0.971105302
0.57,-0.004226064,0.961872358
0.58,-0.023367266,0.952434278
0.59,-0.042308891,0.942797032
0.6,-0.061039751,0.932966588
0.61,-0.079549453,0.922948894
0.62,-0.097827861,0.912749887
0.63,-0.115864892,0.902375501
0.64,-0.1336512,0.89183163
0.65,-0.151177963,0.881124127
0.66,-0.16843638,0.870258847
0.67,-0.185418171,0.859241599
0.68,-0.202115858,0.848078114
0.69,-0.218522031,0.836774116
0.7,-0.234629497,0.825335306
0.71,-0.250432101,0.813767259
0.72,-0.265923972,0.802075508
0.73,-0.281099244,0.790265585
0.74,-0.295952536,0.77834296
0.75,-0.310479482,0.766312937
0.76,-0.32467584,0.754180799
0.77,-0.338537387,0.741951825
0.78,-0.352060547,0.729631183
0.79,-0.365242574,0.717223876
0.8,-0.378080776,0.704734892
0.81,-0.390572506,0.692169213
0.82,-0.402715877,0.679531658
0.83,-0.414509604,0.666826899
0.84,-0.425952415,0.654059602
0.85,-0.437043137,0.641234411
0.86,-0.44778138,0.628355766
0.87,-0.458167139,0.615427992
0.88,-0.468200411,0.602455411
0.89,-0.477881347,0.589442302
0.9,-0.487210824,0.576392715
0.91,-0.496189931,0.563310618
0.92,-0.504819756,0.550199978
0.93,-0.513101603,0.537064693
0.94,-0.52103737,0.523908423
0.95,-0.528629052,0.51073478
0.96,-0.535878647,0.49754738
0.97,-0.542788388,0.484349738
0.98,-0.54936098,0.471145133
0.99,-0.555599187,0.457936809
1,-0.561505771,0.444728009
1.01,-0.567083595,0.431521926
1.02,-0.572335934,0.418321505
1.03,-0.577266155,0.405129615
1.04,-0.581877625,0.391949126
1.05,-0.586173734,0.378782892
1.06,-0.590158113,0.36563358
1.07,-0.593834534,0.352503712
1.08,-0.597206768,0.339395811
1.09,-0.60027859,0.326312394
1.1,-0.603053878,0.313255873
1.11,-0.605536633,0.300228469
1.12,-0.607730862,0.287232387
1.13,-0.609640569,0.274269833
1.14,-0.611269791,0.261342965
1.15,-0.612622627,0.248453759
1.16,-0.613703174,0.235604136
1.17,-0.614515532,0.222796023
1.18,-0.615063802,0.21003133
1.19,-0.615352093,0.197311831
1.2,-0.615384482,0.184639209
1.21,-0.615165047,0.172015145
1.22,-0.614697864,0.15944132
1.23,-0.613986988,0.146919334
1.24,-0.613036397,0.134450676
1.25,-0.611850057,0.122036823
1.26,-0.610431937,0.109679253
1.27,-0.608785984,0.097379414
1.28,-0.60691603,0.085138641
1.29,-0.604825866,0.07295825
1.3,-0.602519287,0.060839551
1.31,-0.600000083,0.048783854
1.32,-0.597271935,0.036792394
1.33,-0.594338395,0.024866347
1.34,-0.591203009,0.013006887
1.35,-0.587869321,0.00121519
1.36,-0.584340878,-0.010507571
1.37,-0.580621109,-0.022160274
1.38,-0.576713268,-0.033741843
1.39,-0.572620593,-0.045251203
1.4,-0.568346321,-0.056687279
1.41,-0.56389369,-0.068048996
1.42,-0.559265874,-0.079335297
1.43,-0.554465831,-0.090545157
1.44,-0.549496473,-0.101677547
1.45,-0.544360716,-0.11273144
1.46,-0.539061471,-0.123705807
1.47,-0.533601628,-0.134599626
1.48,-0.527983869,-0.145411879
1.49,-0.522210788,-0.156141535
1.5,-0.516284974,-0.166787565
1.51,-0.510209019,-0.177348938
1.52,-0.503985506,-0.187824626
1.53,-0.497616869,-0.198213585
1.54,-0.491105398,-0.20851474
1.55,-0.484453374,-0.21872701
1.56,-0.47766308,-0.228849317
1.57,-0.470736799,-0.238880582
1.58,-0.463676725,-0.248819707
1.59,-0.456484878,-0.258665533
1.6,-0.449163256,-0.268416887
1.61,-0.441713856,-0.278072594
1.62,-0.434138677,-0.287631483
1.63,-0.426439679,-0.297092368
1.64,-0.418618654,-0.306453977
1.65,-0.410677344,-0.315715002
1.66,-0.402617493,-0.324874132
1.67,-0.394440843,-0.333930059
1.68,-0.386149127,-0.342881468
1.69,-0.377743947,-0.351726957
1.7,-0.369226827,-0.36046504
1.71,-0.36059929,-0.369094234
1.72,-0.351862856,-0.377613052
1.73,-0.34301905,-0.38602001
1.74,-0.334069324,-0.394313569
1.75,-0.325015019,-0.402492032
1.76,-0.315857461,-0.410553681
1.77,-0.306597976,-0.4184968
1.78,-0.297237892,-0.42631967
1.79,-0.287778534,-0.434020573
1.8,-0.278221164,-0.441597713
1.81,-0.268566957,-0.449049104
1.82,-0.258817082,-0.456372738
1.83,-0.248972706,-0.463566603
1.84,-0.239034998,-0.470628691
1.85,-0.229005127,-0.477556991
1.86,-0.218884221,-0.484349418
1.87,-0.208673348,-0.49100367
1.88,-0.198373576,-0.497517405
1.89,-0.18798597,-0.503888282
1.9,-0.177511597,-0.510113959
1.91,-0.166951523,-0.516192094
1.92,-0.156306794,-0.522120281
1.93,-0.145578429,-0.527895871
1.94,-0.134767451,-0.533516163
1.95,-0.123874885,-0.538978454
1.96,-0.112901756,-0.544280041
1.97,-0.101849087,-0.549418224
1.98,-0.090717894,-0.554390245
1.99,-0.079509205,-0.559193097
2,-0.068224065,-0.563823705
2.01,-0.056863519,-0.568278991
2.02,-0.045428614,-0.57255588
2.03,-0.033920395,-0.576651295
2.04,-0.022339906,-0.580562117
2.05,-0.010688243,-0.584284984
2.06,0.001033458,-0.587816457
2.07,0.012824064,-0.591153092
2.08,0.024682439,-0.59429145
2.09,0.036607449,-0.597228088
2.1,0.048597956,-0.599959531
2.11,0.060652733,-0.602482096
2.12,0.072770484,-0.604792017
2.13,0.084949915,-0.606885528
2.14,0.09718973,-0.608758865
2.15,0.109488633,-0.610408262
2.16,0.121845323,-0.611829931
2.17,0.134258377,-0.613019923
2.18,0.146726265,-0.613974233
2.19,0.159247455,-0.614688858
2.2,0.171820416,-0.615159795
2.21,0.184443616,-0.615383038
2.22,0.197115516,-0.615354571
2.23,0.20983443,-0.615070281
2.24,0.222598517,-0.614526065
2.25,0.235405935,-0.613717822
2.26,0.248254839,-0.612641453
2.27,0.261143385,-0.611292857
2.28,0.274069723,-0.609667923
2.29,0.287031825,-0.607762537
2.3,0.300027468,-0.605572699
2.31,0.313054424,-0.603094421
2.32,0.326110461,-0.600323714
2.33,0.33919335,-0.59725659
2.34,0.352300854,-0.593889052
2.35,0.365430535,-0.590217211
2.36,0.378579721,-0.586237447
2.37,0.391745726,-0.581946168
2.38,0.404925865,-0.577339779
2.39,0.418117452,-0.572414686
2.4,0.431317797,-0.56716729
2.41,0.44452399,-0.561594224
2.42,0.457732851,-0.555692602
2.43,0.470941182,-0.549459583
2.44,0.484145785,-0.542892325
2.45,0.497343464,-0.535987987
2.46,0.510531008,-0.528743742
2.47,0.523704942,-0.52115724
2.48,0.536861574,-0.513226653
2.49,0.549997207,-0.504950185
2.5,0.563108144,-0.496326035
2.51,0.576190683,-0.487352414
2.52,0.589240912,-0.478028036
2.53,0.602254688,-0.468352321
2.54,0.615227853,-0.458324734
2.55,0.628156253,-0.447944744
2.56,0.641035721,-0.437211838
2.57,0.653861869,-0.426126196
2.58,0.6666301,-0.414688804
2.59,0.67933581,-0.402900695
2.6,0.691974394,-0.3907629
2.61,0.704541231,-0.378276489
2.62,0.71703148,-0.365443422
2.63,0.729440121,-0.352266527
2.64,0.741762132,-0.33874867
2.65,0.753992486,-0.324892716
2.66,0.766126144,-0.310701593
2.67,0.778157856,-0.296179295
2.68,0.790082233,-0.281330695
2.69,0.801893888,-0.266160691
2.7,0.813587432,-0.250674182
2.71,0.825157456,-0.234876159
2.72,0.836598374,-0.218772814
2.73,0.847904505,-0.202371157
2.74,0.859070171,-0.185678219
2.75,0.870089694,-0.168701029
2.76,0.880957373,-0.151446744
2.77,0.89166738,-0.13392377
2.78,0.902213839,-0.116141225
2.79,0.912590873,-0.098108232
2.8,0.922792609,-0.079833916
2.81,0.932813155,-0.061327558
2.82,0.942646549,-0.042599642
2.83,0.952286827,-0.023661198
2.84,0.961728027,-0.004523257
2.85,0.970964185,0.014803149
2.86,0.979989332,0.034306763
2.87,0.988797503,0.05397531
2.88,0.997382752,0.073796312
2.89,1.005739136,0.093757297
2.9,1.013860713,0.113845679
2.91,1.021741599,0.13404823
2.92,1.029375949,0.15435152
2.93,1.036757921,0.174742117
2.94,1.04388168,0.195206494
2.95,1.0507415,0.2157307
2.96,1.05733171,0.236300693
2.97,1.063646642,0.256902431
2.98,1.069680644,0.277521806
2.99,1.075428225,0.298144541
3,1.080883962,0.318756369
3.01,1.086042433,0.339343023
3.02,1.090898247,0.359890215
3.03,1.095446215,0.380383744
3.04,1.099681232,0.40080951
3.05,1.103598193,0.421153414
3.06,1.107192034,0.441401384
3.07,1.110457942,0.461539693
3.08,1.113391197,0.481554782
3.09,1.115987076,0.501433095
3.1,1.118240913,0.521161158
3.11,1.120148338,0.54072607
3.12,1.121705081,0.56011515
3.13,1.122906871,0.579315717
3.14,1.123749507,0.598315233
3.15,1.124229131,0.617101918
3.16,1.124341993,0.635664246
3.17,1.124084344,0.653990687
3.18,1.123452518,0.67206991
3.19,1.122443247,0.689891485
3.2,1.121053378,0.707445242
3.21,1.119279755,0.724721011
3.22,1.11711933,0.741708867
3.23,1.114569507,0.758399875
3.24,1.111627813,0.774785357
3.25,1.108291775,0.79085663
3.26,1.104559048,0.806605299
3.27,1.100427807,0.822023995
3.28,1.095896356,0.837105589
3.29,1.090963,0.851842948
3.3,1.085626158,0.866229183
3.31,1.079884899,0.880258524
3.32,1.073738491,0.8939255
3.33,1.067186201,0.90722464
3.34,1.060227309,0.920150509
3.35,1.05286161,0.932698475
3.36,1.04508952,0.944864733
3.37,1.036911492,0.956645517
3.38,1.028327979,0.968037061
3.39,1.01933957,0.979035796
3.4,1.009947731,0.989639185
3.41,1.000154272,0.999845029
3.42,0.989961007,1.009651132
3.43,0.97936975,1.019055301
3.44,0.968382815,1.028055866
3.45,0.957003439,1.036651962
3.46,0.945234962,1.044842796
3.47,0.933080722,1.052627573
3.48,0.920544148,1.060005585
3.49,0.907629646,1.066976879
3.5,0.894342217,1.073541889
3.51,0.88068687,1.079701053
3.52,0.866668614,1.085454806
3.53,0.852292864,1.090803866
3.54,0.837566191,1.095749636
3.55,0.822495371,1.100293616
3.56,0.807087178,1.104437308
3.57,0.791348434,1.108182246
3.58,0.775286869,1.111530447
3.59,0.758911017,1.114484318
3.6,0.742229443,1.117046277
3.61,0.725250709,1.119218741
3.62,0.707983647,1.121004259
3.63,0.69043823,1.122405902
3.64,0.672624737,1.123426873
3.65,0.65455345,1.124070377
3.66,0.636234667,1.124339622
3.67,0.617679337,1.124238106
3.68,0.598899224,1.123769683
3.69,0.579906144,1.122938229
3.7,0.560711909,1.12174762
3.71,0.541328465,1.120201786
3.72,0.52176857,1.118305029
3.73,0.502045276,1.116061798
3.74,0.482171634,1.113476546
3.75,0.462160701,1.110553723
3.76,0.442025852,1.107297936
3.77,0.421780952,1.103714087
3.78,0.401439889,1.099807112
3.79,0.381016557,1.095581945
3.8,0.360524888,1.091043542
3.81,0.339979097,1.08619709
3.82,0.319393448,1.081047917
3.83,0.298782195,1.075601354
3.84,0.278159591,1.069862733
3.85,0.257539963,1.063837445
3.86,0.236937508,1.057531094
3.87,0.216366302,1.050949326
3.88,0.195840421,1.044097789
3.89,0.17537394,1.03698213
3.9,0.154980907,1.029608049
3.91,0.134674855,1.021981395
3.92,0.114469067,1.014108032
3.93,0.094376829,1.005993827
3.94,0.074411425,0.997644644
3.95,0.054586034,0.989066381
3.96,0.034912969,0.980265003
3.97,0.01540417,0.971246472
3.98,-0.003928423,0.962016751
3.99,-0.023072869,0.9525818
4,-0.042017383,0.942947596
4.01,-0.06075131,0.933120104
4.02,-0.079264488,0.923105261
4.03,-0.097546755,0.912909002
4.04,-0.11558795,0.902537262
4.05,-0.133378082,0.891995977
4.06,-0.150908456,0.881291001
4.07,-0.168170967,0.870428125
4.08,-0.185157512,0.85941314
4.09,-0.201859988,0.848251839
4.1,-0.218270458,0.836950002
4.11,-0.234382332,0.825513267
4.12,-0.250189677,0.813947176
4.13,-0.265686564,0.802257271
4.14,-0.280867064,0.790449091
4.15,-0.295725394,0.778528164
4.16,-0.31025707,0.766499822
4.17,-0.324458295,0.75436927
4.18,-0.338325276,0.74214171
4.19,-0.351854219,0.729822344
4.2,-0.365041452,0.717416359
4.21,-0.377884473,0.704928713
4.22,-0.390381458,0.692364209
4.23,-0.402530586,0.679727643
4.24,-0.414330039,0.667023813
4.25,-0.425778087,0.6542575
4.26,-0.436873999,0.641433243
4.27,-0.447617672,0.628555397
4.28,-0.458009006,0.615628312
4.29,-0.468047903,0.602656338
4.3,-0.477734345,0.589643806
4.31,-0.487069143,0.576594791
4.32,-0.496053554,0.563513204
4.33,-0.504688836,0.550402952
4.34,-0.512976246,0.537267943
4.35,-0.520917276,0.524112002
4.36,-0.528514088,0.510938679
4.37,-0.535768958,0.497751462
4.38,-0.542684161,0.484553841
4.39,-0.549261997,0.471349293
4.4,-0.555505188,0.458141097
4.41,-0.561416768,0.444932344
4.42,-0.566999778,0.431726118
4.43,-0.572257259,0.418525501
4.44,-0.577192368,0.405333514
4.45,-0.581808624,0.392152922
4.46,-0.586109604,0.378986427
4.47,-0.590098886,0.365836733
4.48,-0.593780057,0.352706535
4.49,-0.597156892,0.339598367
4.5,-0.600233301,0.326514591
4.51,-0.603013195,0.313457559
4.52,-0.605500485,0.300429626
4.53,-0.607699121,0.287433101
4.54,-0.609613171,0.274470083
4.55,-0.611246706,0.261542615
4.56,-0.612603801,0.248652738
4.57,-0.61368853,0.235802492
4.58,-0.614505006,0.222993795
4.59,-0.615057329,0.210228428
4.6,-0.615349597,0.197508161
4.61,-0.615385906,0.184834766
4.62,-0.615170355,0.172209985
4.63,-0.614706993,0.159635409
4.64,-0.613999834,0.147112582
4.65,-0.613052891,0.134643046
4.66,-0.611870176,0.122228342
4.67,-0.610455656,0.109869935
4.68,-0.608813192,0.097569189
4.69,-0.606946634,0.085327462
4.7,-0.604859828,0.073146111
4.71,-0.602556618,0.06102648
4.72,-0.600040708,0.048969818
4.73,-0.597315716,0.036977333
4.74,-0.594385257,0.025050232
4.75,-0.591252947,0.013189724
4.76,-0.587922385,0.001397002
4.77,-0.584396997,-0.010326811
4.78,-0.580680115,-0.021980617
4.79,-0.576775068,-0.033563318
4.8,-0.572685185,-0.045073815
4.81,-0.56841378,-0.056511016
4.82,-0.563963984,-0.067873875
4.83,-0.559338822,-0.079161353
4.84,-0.554541318,-0.090372412
4.85,-0.549574493,-0.101506015
4.86,-0.544441357,-0.112561127
4.87,-0.539144737,-0.12353673
4.88,-0.53368735,-0.134431801
4.89,-0.528071909,-0.145245317
4.9,-0.522301128,-0.155976255
4.91,-0.516377705,-0.166623592
4.92,-0.510304174,-0.177186298
4.93,-0.504082949,-0.187663321
4.94,-0.497716443,-0.19805361
4.95,-0.491207068,-0.208356111
4.96,-0.484557226,-0.218569773
4.97,-0.477769167,-0.228693512
4.98,-0.470845022,-0.238726208
4.99,-0.463786923,-0.248666737
5,-0.456596999,-0.258513977
