time,x1,y1,x2,y2
0,-0.5,0,0.5,0
0.01,-0.498864103,0.001035931,0.498864103,-0.001035931
0.02,-0.497529167,0.002071449,0.497529167,-0.002071449
0.03,-0.495996228,0.003106142,0.495996228,-0.003106142
0.04,-0.494266487,0.004139604,0.494266487,-0.004139604
0.05,-0.492341348,0.005171429,0.492341348,-0.005171429
0.06,-0.490222331,0.006201218,0.490222331,-0.006201218
0.07,-0.487911141,0.007228577,0.487911141,-0.007228577
0.08,-0.485409607,0.008253115,0.485409607,-0.008253115
0.09,-0.482719732,0.009274452,0.482719732,-0.009274452
0.1,-0.479843655,0.010292212,0.479843655,-0.010292212
0.11,-0.476783656,0.011306027,0.476783656,-0.011306027
0.12,-0.473542162,0.012315538,0.473542162,-0.012315538
0.13,-0.470121835,0.013320402,0.470121835,-0.013320402
0.14,-0.466525347,0.014320275,0.466525347,-0.014320275
0.15,-0.462755496,0.015314821,0.462755496,-0.015314821
0.16,-0.458815378,0.016303735,0.458815378,-0.016303735
0.17,-0.454708131,0.017286714,0.454708131,-0.017286714
0.18,-0.450436929,0.018263457,0.450436929,-0.018263457
0.19,-0.446005217,0.019233693,0.446005217,-0.019233693
0.2,-0.441416575,0.020197167,0.441416575,-0.020197167
0.21,-0.436674588,0.021153623,0.436674588,-0.021153623
0.22,-0.431782991,0.022102829,0.431782991,-0.022102829
0.23,-0.426745754,0.023044585,0.426745754,-0.023044585
0.24,-0.421566863,0.023978695,0.421566863,-0.023978695
0.25,-0.416250352,0.024904972,0.416250352,-0.024904972
0.26,-0.410800502,0.025823274,0.410800502,-0.025823274
0.27,-0.405221664,0.026733475,0.405221664,-0.026733475
0.28,-0.399518199,0.027635451,0.399518199,-0.027635451
0.29,-0.393694627,0.028529116,0.393694627,-0.028529116
0.3,-0.387755616,0.029414425,0.387755616,-0.029414425
0.31,-0.381705844,0.030291336,0.381705844,-0.030291336
0.32,-0.375550048,0.031159823,0.375550048,-0.031159823
0.33,-0.369293148,0.03201993,0.369293148,-0.03201993
0.34,-0.362940097,0.03287171,0.362940097,-0.03287171
0.35,-0.35649586,0.033715223,0.35649586,-0.033715223
0.36,-0.349965534,0.034550594,0.349965534,-0.034550594
0.37,-0.343354297,0.035377992,0.343354297,-0.035377992
0.38,-0.336667325,0.036197587,0.336667325,-0.036197587
0.39,-0.329909857,0.037009591,0.329909857,-0.037009591
0.4,-0.32308723,0.037814301,0.32308723,-0.037814301
0.41,-0.316204792,0.038612024,0.316204792,-0.038612024
0.42,-0.309267902,0.039403081,0.309267902,-0.039403081
0.43,-0.302281997,0.0401879,0.302281997,-0.0401879
0.44,-0.295252532,0.040966951,0.295252532,-0.040966951
0.45,-0.288184966,0.041740711,0.288184966,-0.041740711
0.46,-0.281084786,0.042509742,0.281084786,-0.042509742
0.47,-0.27395749,0.043274691,0.27395749,-0.043274691
0.48,-0.266808579,0.04403622,0.266808579,-0.04403622
